player_name,total-close-made,total-mid-made,total-long-made,total-threes-made,total-made,avg-shot-distance,total-close-taken,total-mid-taken,total-long-taken,total-threes-taken,total-taken,close-perc,mid-perc,long-perc,three-perc,total-perc
aaron brooks,87,37,20,77,221,14.823473282442745,190,93,55,186,524,0.458,0.398,0.364,0.414,0.422
aaron gordon,36,7,6,4,53,9.934000000000001,58,17,13,12,100,0.621,0.412,0.462,0.333,0.53
alfarouq aminu,72,5,14,15,106,13.051012145748986,121,12,49,65,247,0.595,0.417,0.286,0.231,0.429
al horford,190,40,139,3,372,11.90766961651918,299,89,274,16,678,0.635,0.449,0.507,0.188,0.549
al jefferson,212,122,45,1,380,9.275788146279957,370,314,108,1,793,0.573,0.389,0.417,1.0,0.479
alan anderson,49,24,30,38,141,16.320923076923073,77,54,79,115,325,0.636,0.444,0.38,0.33,0.434
alex len,119,22,13,0,154,7.185324232081911,194,50,48,1,293,0.613,0.44,0.271,0.0,0.526
alexis ajinca,72,39,11,0,122,8.185365853658533,107,72,26,0,205,0.673,0.542,0.423,,0.595
allen crabbe,12,1,12,12,37,19.555172413793102,15,3,32,37,87,0.8,0.333,0.375,0.324,0.425
alonzo gee,48,1,9,2,60,8.684000000000001,87,7,22,9,125,0.552,0.143,0.409,0.222,0.48
amare stoudemire,149,12,13,0,174,6.495886075949366,240,38,36,2,316,0.621,0.316,0.361,0.0,0.551
amir johnson,186,18,12,11,227,6.980661577608141,298,40,25,30,393,0.624,0.45,0.48,0.367,0.578
andre drummond,301,29,0,0,330,4.426339969372125,561,86,4,2,653,0.537,0.337,0.0,0.0,0.505
andre iguodala,72,12,32,36,152,15.155182926829276,109,37,91,91,328,0.661,0.324,0.352,0.396,0.463
andre miller,56,26,7,1,90,8.265030674846626,92,52,11,8,163,0.609,0.5,0.636,0.125,0.552
andre roberson,57,2,7,11,77,11.577300613496933,95,2,21,45,163,0.6,1.0,0.333,0.244,0.472
andrew bogut,108,22,0,0,130,5.2152542372881365,172,60,4,0,236,0.628,0.367,0.0,,0.551
andrew wiggins,195,52,68,32,347,12.050573248407646,335,159,205,86,785,0.582,0.327,0.332,0.372,0.442
anthony bennett,56,9,45,2,112,13.779553903345727,89,36,135,9,269,0.629,0.25,0.333,0.222,0.416
anthony davis,259,70,113,0,442,10.402103960396037,384,152,269,3,808,0.674,0.461,0.42,0.0,0.547
anthony morrow,36,37,59,47,179,17.78844221105528,55,81,133,129,398,0.655,0.457,0.444,0.364,0.45
aron baynes,113,13,9,1,136,6.0155102040816315,192,31,19,3,245,0.589,0.419,0.474,0.333,0.555
arron afflalo,59,82,85,63,289,16.15007541478131,119,179,195,170,663,0.496,0.458,0.436,0.371,0.436
avery bradley,92,10,150,65,317,17.408606557377055,162,30,345,195,732,0.568,0.333,0.435,0.333,0.433
ben gordon,24,24,40,22,110,16.6004048582996,46,43,93,65,247,0.522,0.558,0.43,0.338,0.445
ben mclemore,95,18,59,79,251,17.043672014260242,156,43,141,221,561,0.609,0.419,0.418,0.357,0.447
beno udrih,44,42,62,13,161,14.968111455108367,66,79,123,55,323,0.667,0.532,0.504,0.236,0.498
bismack biyombo,63,1,0,0,64,4.036283185840707,101,10,2,0,113,0.624,0.1,0.0,,0.566
blake griffin,252,38,139,12,441,11.84749430523918,415,90,345,28,878,0.607,0.422,0.403,0.429,0.502
bojan bogdanovic,77,13,15,39,144,15.465406976744184,119,40,52,133,344,0.647,0.325,0.288,0.293,0.419
boris diaw,110,24,16,40,190,12.468496420047734,199,56,54,110,419,0.553,0.429,0.296,0.364,0.453
bradley beal,80,18,69,61,228,15.932727272727274,143,76,192,139,550,0.559,0.237,0.359,0.439,0.415
brandon bass,119,43,62,1,225,10.366881720430117,211,107,145,2,465,0.564,0.402,0.428,0.5,0.484
brandon jennings,74,27,41,65,207,15.50583657587549,155,80,94,185,514,0.477,0.338,0.436,0.351,0.403
brandon knight,126,24,75,111,336,16.469720101781164,236,68,201,281,786,0.534,0.353,0.373,0.395,0.427
brian roberts,27,22,56,41,146,18.59607843137254,46,57,127,127,357,0.587,0.386,0.441,0.323,0.409
